Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Coder ID,Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
CEBUS-02-R12__2022-09-11__09-33-23,2024-12-02 12:38:57.955,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-33-23.MP4,0.0,42.243,60.827,29.970,ZG,adultmale,0.0,present,Not defined,,POINT,1.401,1.401,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-33-23.MP4,42,42,,,,
CEBUS-02-R12__2022-09-11__09-33-23,2024-12-02 12:38:57.955,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-33-23.MP4,0.0,42.243,60.827,29.970,ZG,adultmale,0.0,present,Not defined,,POINT,43.644,43.644,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-33-23.MP4,1308,1308,,,,
CEBUS-02-R12__2022-09-11__09-34-38,2024-12-02 12:42:13.682,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-34-38.MP4,0.0,0.000,60.894,29.970,ZG,adultmale,0.0,present,Not defined,,POINT,60.060,60.060,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-34-38.MP4,1800,1800,,,,
CEBUS-02-R12__2022-09-11__09-35-52,2024-12-02 12:43:44.736,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-35-52.MP4,0.0,59.642,60.861,29.970,ZG,adultmale,0.0,present,Not defined,,POINT,1.201,1.201,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-35-52.MP4,36,36,,,,
CEBUS-02-R12__2022-09-11__09-35-52,2024-12-02 12:43:44.736,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-35-52.MP4,0.0,59.642,60.861,29.970,ZG,adultmale,0.0,present,Not defined,,POINT,30.163,30.163,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-35-52.MP4,904,904,,,,
CEBUS-02-R12__2022-09-11__09-35-52,2024-12-02 12:43:44.736,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-35-52.MP4,0.0,59.642,60.861,29.970,ZG,juvenileunknown,0.0,present,Not defined,,POINT,30.530,30.530,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-35-52.MP4,915,915,,,,
CEBUS-02-R12__2022-09-11__09-35-52,2024-12-02 12:43:44.736,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-35-52.MP4,0.0,59.642,60.861,29.970,ZG,juvenileunknown,0.0,present,Not defined,,POINT,58.926,58.926,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-35-52.MP4,1766,1766,,,,
CEBUS-02-R12__2022-09-11__09-35-52,2024-12-02 12:43:44.736,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-35-52.MP4,0.0,59.642,60.861,29.970,ZG,adultmale,0.0,present,Not defined,,POINT,60.843,60.843,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-35-52.MP4,1823,1823,,,,
CEBUS-02-R12__2022-09-11__09-37-11,2024-12-02 12:46:12.890,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-37-11.MP4,0.0,0.000,60.861,29.970,ZG,adultmale,0.0,present,Not defined,,POINT,11.745,11.745,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-37-11.MP4,352,352,,,,
CEBUS-02-R12__2022-09-11__09-38-49,2024-12-02 12:48:40.672,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-38-49.MP4,0.0,33.934,60.827,29.970,ZG,adultmale,0.0,present,Not defined,,POINT,2.102,2.102,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-38-49.MP4,63,63,,,,
CEBUS-02-R12__2022-09-11__09-38-49,2024-12-02 12:48:40.672,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-38-49.MP4,0.0,33.934,60.827,29.970,ZG,adultmale,0.0,present,Not defined,,POINT,36.036,36.036,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-38-49.MP4,1080,1080,,,,
CEBUS-02-R12__2022-09-11__09-40-02,2024-12-02 12:50:43.155,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-40-02.MP4,0.0,50.718,60.861,29.970,ZG,adultmale,0.0,present,Not defined,,POINT,1.835,1.835,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-40-02.MP4,55,55,,,,
CEBUS-02-R12__2022-09-11__09-40-02,2024-12-02 12:50:43.155,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-40-02.MP4,0.0,50.718,60.861,29.970,ZG,juvenileunknown,0.0,present,Not defined,,POINT,3.070,3.070,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-40-02.MP4,92,92,,,,
CEBUS-02-R12__2022-09-11__09-40-02,2024-12-02 12:50:43.155,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-40-02.MP4,0.0,50.718,60.861,29.970,ZG,subadultmale,0.0,scrounge,Not defined,tolerated,POINT,24.491,24.491,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-40-02.MP4,734,734,,,,
CEBUS-02-R12__2022-09-11__09-40-02,2024-12-02 12:50:43.155,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-40-02.MP4,0.0,50.718,60.861,29.970,ZG,subadultmale,0.0,present,Not defined,,POINT,49.917,49.917,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-40-02.MP4,1496,1496,,,,
CEBUS-02-R12__2022-09-11__09-40-02,2024-12-02 12:50:43.155,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-40-02.MP4,0.0,50.718,60.861,29.970,ZG,adultmale,0.0,present,Not defined,,POINT,51.718,51.718,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-40-02.MP4,1550,1550,,,,
CEBUS-02-R12__2022-09-11__09-40-02,2024-12-02 12:50:43.155,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-40-02.MP4,0.0,50.718,60.861,29.970,ZG,juvenileunknown,0.0,present,Not defined,,POINT,52.553,52.553,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-40-02.MP4,1575,1575,,,,
CEBUS-02-R12__2022-09-11__09-41-22,2024-12-02 12:53:05.019,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-41-22.MP4,0.0,0.000,60.861,29.970,ZG,adultmale,0.0,present,Not defined,,POINT,0.267,0.267,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-41-22.MP4,8,8,,,,
CEBUS-02-R12__2022-09-11__09-46-11,2024-12-02 12:54:07.877,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-46-11.MP4,0.0,38.438,60.861,29.970,ZG,juvenileunknown,0.0,present,Not defined,,POINT,1.368,1.368,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-46-11.MP4,41,41,,,,
CEBUS-02-R12__2022-09-11__09-46-11,2024-12-02 12:54:07.877,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-46-11.MP4,0.0,38.438,60.861,29.970,ZG,juvenileunknown,0.0,present,Not defined,,POINT,39.806,39.806,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-46-11.MP4,1193,1193,,,,
CEBUS-02-R12__2022-09-11__09-48-02,2024-12-02 12:55:09.522,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-48-02.MP4,0.0,44.478,60.861,29.970,ZG,subadultmale,0.0,present,Not defined,,POINT,3.637,3.637,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-48-02.MP4,109,109,,,,
CEBUS-02-R12__2022-09-11__09-48-02,2024-12-02 12:55:09.522,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-48-02.MP4,0.0,44.478,60.861,29.970,ZG,juvenileunknown,0.0,present,Not defined,,POINT,48.115,48.115,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-48-02.MP4,1442,1442,,,,
CEBUS-02-R12__2022-09-11__09-49-23,2024-12-02 12:56:32.527,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-49-23.MP4,0.0,1.368,60.861,29.970,ZG,subadultmale,0.0,present,Not defined,,POINT,5.672,5.672,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-49-23.MP4,171,171,,,,
CEBUS-02-R12__2022-09-11__09-49-23,2024-12-02 12:56:32.527,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-49-23.MP4,0.0,1.368,60.861,29.970,ZG,juvenileunknown,0.0,present,Not defined,,POINT,7.040,7.040,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-49-23.MP4,211,211,,,,
CEBUS-02-R12__2022-09-11__09-52-32,2024-12-02 12:57:34.899,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-52-32.MP4,0.0,57.139,60.861,29.970,ZG,juvenileunknown,0.0,present,Not defined,,POINT,3.704,3.704,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-52-32.MP4,111,111,,,,
CEBUS-02-R12__2022-09-11__09-52-32,2024-12-02 12:57:34.899,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-52-32.MP4,0.0,57.139,60.861,29.970,ZG,juvenileunknown,0.0,present,Not defined,,POINT,5.639,5.639,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-52-32.MP4,169,169,,,,
CEBUS-02-R12__2022-09-11__09-52-32,2024-12-02 12:57:34.899,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-52-32.MP4,0.0,57.139,60.861,29.970,ZG,juvenileunknown,0.0,present,Not defined,,POINT,60.627,60.627,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-52-32.MP4,1817,1817,,,,
CEBUS-02-R12__2022-09-11__09-52-32,2024-12-02 12:57:34.899,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-52-32.MP4,0.0,57.139,60.861,29.970,ZG,juvenileunknown,0.0,scrounge,Not defined,afterwards,POINT,60.843,60.843,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__09-52-32.MP4,1823,1823,,,,
CEBUS-02-R12__2022-09-11__13-25-36,2024-12-02 12:59:15.681,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__13-25-36.MP4,0.0,31.865,60.861,29.970,ZG,adultfemale,0.0,present,Not defined,,POINT,12.946,12.946,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__13-25-36.MP4,388,388,,,,
CEBUS-02-R12__2022-09-11__13-25-36,2024-12-02 12:59:15.681,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__13-25-36.MP4,0.0,31.865,60.861,29.970,ZG,adultfemale,0.0,present,Not defined,,POINT,44.811,44.811,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__13-25-36.MP4,1343,1343,,,,
CEBUS-02-R12__2022-09-11__13-27-00,2024-12-02 13:01:37.166,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__13-27-00.MP4,0.0,19.753,60.861,29.970,ZG,juvenileunknown,0.0,present,Not defined,,POINT,14.248,14.248,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__13-27-00.MP4,427,427,,,,
CEBUS-02-R12__2022-09-11__13-27-00,2024-12-02 13:01:37.166,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__13-27-00.MP4,0.0,19.753,60.861,29.970,ZG,adultmale,0.0,present,Not defined,,POINT,31.098,31.098,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__13-27-00.MP4,932,932,,,,
CEBUS-02-R12__2022-09-11__13-27-00,2024-12-02 13:01:37.166,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__13-27-00.MP4,0.0,19.753,60.861,29.970,ZG,juvenileunknown,0.0,present,Not defined,,POINT,34.001,34.001,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__13-27-00.MP4,1019,1019,,,,
CEBUS-02-R12__2022-09-11__14-18-36,2024-12-02 13:09:08.515,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__14-18-36.MP4,0.0,5.105,60.928,29.970,ZG,adultfemale,0.0,present,Not defined,,POINT,55.055,55.055,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__14-18-36.MP4,1650,1650,,,,
CEBUS-02-R12__2022-09-11__14-18-36,2024-12-02 13:09:08.515,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__14-18-36.MP4,0.0,5.105,60.928,29.970,ZG,juvenileunknown,0.0,present,Not defined,,POINT,60.160,60.160,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__14-18-36.MP4,1803,1803,,,,
CEBUS-02-R12__2022-09-11__14-20-10,2024-12-02 13:10:26.796,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__14-20-10.MP4,0.0,49.850,60.861,29.970,ZG,juvenileunknown,0.0,present,Not defined,,POINT,1.902,1.902,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__14-20-10.MP4,57,57,,,,
CEBUS-02-R12__2022-09-11__14-20-10,2024-12-02 13:10:26.796,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__14-20-10.MP4,0.0,49.850,60.861,29.970,ZG,adultmale,0.0,present,Not defined,,POINT,5.772,5.772,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__14-20-10.MP4,173,173,,,,
CEBUS-02-R12__2022-09-11__14-20-10,2024-12-02 13:10:26.796,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__14-20-10.MP4,0.0,49.850,60.861,29.970,ZG,adultfemale,0.0,present,Not defined,,POINT,20.387,20.387,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__14-20-10.MP4,611,611,,,,
CEBUS-02-R12__2022-09-11__14-20-10,2024-12-02 13:10:26.796,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__14-20-10.MP4,0.0,49.850,60.861,29.970,ZG,juvenileunknown,0.0,present,Not defined,,POINT,20.387,20.387,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__14-20-10.MP4,611,611,,,,
CEBUS-02-R12__2022-09-11__14-20-10,2024-12-02 13:10:26.796,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__14-20-10.MP4,0.0,49.850,60.861,29.970,ZG,juvenileunknown,0.0,present,Not defined,,POINT,20.787,20.787,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__14-20-10.MP4,624,624,,,,
CEBUS-02-R12__2022-09-11__14-20-10,2024-12-02 13:10:26.796,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__14-20-10.MP4,0.0,49.850,60.861,29.970,ZG,subadultmale,0.0,present,Not defined,,POINT,34.268,34.268,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__14-20-10.MP4,1027,1027,,,,
CEBUS-02-R12__2022-09-11__14-20-10,2024-12-02 13:10:26.796,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__14-20-10.MP4,0.0,49.850,60.861,29.970,ZG,juvenileunknown,0.0,present,Not defined,,POINT,35.369,35.369,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__14-20-10.MP4,1060,1060,,,,
CEBUS-02-R12__2022-09-11__14-20-10,2024-12-02 13:10:26.796,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__14-20-10.MP4,0.0,49.850,60.861,29.970,ZG,juvenileunknown,0.0,present,Not defined,,POINT,51.184,51.184,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__14-20-10.MP4,1534,1534,,,,
CEBUS-02-R12__2022-09-11__14-20-10,2024-12-02 13:10:26.796,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__14-20-10.MP4,0.0,49.850,60.861,29.970,ZG,juvenileunknown,0.0,present,Not defined,,POINT,51.752,51.752,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__14-20-10.MP4,1551,1551,,,,
CEBUS-02-R12__2022-09-11__14-21-42,2024-12-02 13:15:49.805,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__14-21-42.MP4,0.0,46.613,60.894,29.970,ZG,juvenileunknown,0.0,present,Not defined,,POINT,4.838,4.838,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-09-11__14-21-42.MP4,145,145,,,,
